,Image_Link,Actor Name,Twitter Handle
169,https://pbs.twimg.com/profile_images/1153280536791715840/g4afdwj-_400x400.jpg,Celina Jaitly,@CelinaJaitly
170,https://pbs.twimg.com/profile_images/1148284386804031490/9BKCP3M9_400x400.jpg,Asha Negi,@AshaNegi7
171,https://pbs.twimg.com/profile_images/1244590992365252609/QsbIWfF0_400x400.jpg,Gautham Karthik,@Gautham_Karthik
172,https://pbs.twimg.com/profile_images/1236244321700999170/GJvkw1ST_400x400.jpg,Janani,@jan_iyer
173,https://pbs.twimg.com/profile_images/1126342237296545792/FV6MlEXp_400x400.jpg,Anita Hassanandani,@anitahasnandani
174,https://pbs.twimg.com/profile_images/980293550393868290/fwrSj6xa_400x400.jpg,Azeem Banatwalla,@TheBanat
175,https://pbs.twimg.com/profile_images/985788706291310592/OcprxF-K_400x400.jpg,Kalki केकला,@kalkikanmani
176,https://pbs.twimg.com/profile_images/624069830031708160/wa_i_HIL_400x400.jpg,ReginaCassandra,@ReginaCassandra
177,https://pbs.twimg.com/profile_images/563872485234339840/zLwAicSo_400x400.jpeg,anurag basu,@basuanurag
178,https://pbs.twimg.com/profile_images/1165687702991163392/cIgqsjAV_400x400.jpg,kiku sharda,@kikusharda
179,https://pbs.twimg.com/profile_images/1237817009577971712/N_4DMIFR_400x400.jpg,Anushka Shetty,@Anushka_ASF
180,https://pbs.twimg.com/profile_images/1242628488437198848/LKL50CDk_400x400.jpg,Jaaved Jaaferi,@jaavedjaaferi
181,https://pbs.twimg.com/profile_images/1245287378664611845/1TJ7yWQ3_400x400.jpg,AMRITA RAO,@AmritaRao
182,https://pbs.twimg.com/profile_images/1068887069685100549/QI9iwffl_400x400.jpg,Minissha Lambba,@Minissha_Lamba
183,https://pbs.twimg.com/profile_images/1207317438582284291/uZy1NFKu_400x400.jpg,Raghava Lawrence,@offl_Lawrence
184,https://pbs.twimg.com/profile_images/1124974363193643009/alhsvAMP_400x400.jpg,sonia singh,@soniandtv
185,https://pbs.twimg.com/profile_images/594761242117410816/fwkGkusd_400x400.jpg,Jai,@Actor_Jai
186,https://pbs.twimg.com/profile_images/1161881062525378561/zZpLEmaJ_400x400.jpg,Ritu Varma,@riturv
187,https://pbs.twimg.com/profile_images/2611326359/c72s2xglc5r3e8ysrmu7_400x400.jpeg,Rahul Khanna,@R_Khanna
188,https://pbs.twimg.com/profile_images/1101888186261749762/Oml915Xo_400x400.jpg,Pranitha Subhash,@pranitasubhash
189,https://pbs.twimg.com/profile_images/1008202547105009664/XmgygP3u_400x400.jpg,Radhika Apte,@radhika_apte
190,https://pbs.twimg.com/profile_images/1213076813800337408/Vj7_KSPS_400x400.jpg,parambrata,@paramspeak
191,https://pbs.twimg.com/profile_images/671284165564751872/yP7soiJg_400x400.jpg,Mohan Babu M,@themohanbabu
192,https://pbs.twimg.com/profile_images/1193090073064955905/4Rqm9o2z_400x400.jpg,Mimssi,@mimichakraborty
193,https://pbs.twimg.com/profile_images/460052965890338817/qKIhS6K7_400x400.jpeg,Katrina Kaif,@KatrinaKaif_
194,https://pbs.twimg.com/profile_images/1188826581227233286/ACzJHl1j_400x400.jpg,Ali Asgar,@kingaliasgar
195,https://pbs.twimg.com/profile_images/791261237359349760/pZpdgIeJ_400x400.jpg,Suniel Shetty,@SunielVShetty
196,https://pbs.twimg.com/profile_images/1022539461689831426/NUJM1LNM_400x400.jpg,Rajkummar Rao,@RajkummarRao
197,https://pbs.twimg.com/profile_images/1253611619084414976/U3V_DZ6d_400x400.jpg,Randeep Hooda,@RandeepHooda
198,https://pbs.twimg.com/profile_images/1253699488746598402/76u5C-IS_400x400.jpg,Sushanth A,@iamSushanthA
199,https://pbs.twimg.com/profile_images/1101465552701153280/KvA9mU7d_400x400.jpg,Vaibhav,@actor_vaibhav
200,https://pbs.twimg.com/profile_images/1057917463738777601/P9zzyPdj_400x400.jpg,Sudheer Babu,@isudheerbabu
201,https://pbs.twimg.com/profile_images/1253051510809919490/5rKWySbh_400x400.jpg,Pragya Jaiswal,@ItsMePragya
202,https://pbs.twimg.com/profile_images/1147883174996746241/wwkYYik-_400x400.jpg,kriti kharbanda,@kriti_official
203,https://pbs.twimg.com/profile_images/378800000838302849/3f935b4afe35833dbe2a199027f10b46_400x400.jpeg,Khamba,@gkhamba
204,https://pbs.twimg.com/profile_images/855435826838347776/RsGLBrUE_400x400.jpg,Nikki Galrani,@nikkigalrani
205,https://pbs.twimg.com/profile_images/1227523982712168448/q2we5D8X_400x400.jpg,Sundeep Kishan,@sundeepkishan
206,https://pbs.twimg.com/profile_images/653452020267945985/SQBTMtfF_400x400.jpg,Raj Tarun,@itsRajTarun
207,https://pbs.twimg.com/profile_images/831197669821468672/VDIn6RyB_400x400.jpg,Maniesh Paul,@ManishPaul03
208,https://pbs.twimg.com/profile_images/1192821355013644290/R0duNRKC_400x400.jpg,Kartik Aaryan,@TheAaryanKartik
209,https://pbs.twimg.com/profile_images/1045991333457014788/Wkv3ebhf_400x400.jpg,Ritika Singh,@ritika_offl
210,https://pbs.twimg.com/profile_images/3147676621/748a7abfba6bb1cf21be558fd9cf4fe6_400x400.jpeg,Abhishek Kapoor,@Abhishekapoor
211,https://pbs.twimg.com/profile_images/1228612263537336320/hlbOS3hn_400x400.jpg,HK,@eyehinakhan
212,https://pbs.twimg.com/profile_images/1083387214577319937/0v3DUgqe_400x400.jpg,URVASHI RAUTELA🇮🇳,@UrvashiRautela
213,https://pbs.twimg.com/profile_images/1228047397231747072/PCE6WBdF_400x400.jpg,Kritika Kamra,@Kritika_Kamra
214,https://pbs.twimg.com/profile_images/995967856134279168/tALGenQP_400x400.jpg,Sameera Reddy,@reddysameera
215,https://pbs.twimg.com/profile_images/1098764013142388737/VVg2Cknl_400x400.jpg,Swastika Mukherjee,@swastika24
